,,,content,man_written
News 1st,3/15/2021 18:52,Received,"Wathu kamkaru dainika wetupa rupiyal 1,000k bawata path karamin nikuth kala gazzte niwedanaya balarahitha karana lesa illa..(1/2)",වතු කම්කරු දෛනික වැටුප රුපියල්  1000ක් බවට පත් කරමින් නිකුත් කළ ගැසට් නිවේදනය බලරහිත කරන ලෙස ඉල්ලා
News 1st,3/15/2021 18:52,Received,..wewili samagam 20k abhiyachanadhikaranayata rit agcha pethsamak gonu karai.(2/2),වැවිලි සමාගම් 20ක් අභියාචනාධිකරණයට රිට් ආඥා ආඥා පෙත්සමක් ගොනු කරයි
Ada Derana,3/15/2021 18:25,Received,Covid-19 asadithayin 178 deneku haduna ganne - Yuda hamudapathi,Covid 19 ආසාදිතයින් 178 දෙනෙකු හඳුනා ගැනේ යුද හමුදාපති
Hiru News,3/15/2021 18:20,Received,Thawath COVID-19 asadithayin 178k wartha wei.: Army Commander,තවත් covid 19 ආසාදිතයින් 178ක් වාර්තාවේ army commander
Hiru News,3/15/2021 17:26,Received,Podu prawahana sewa sidu karannanta leasing sadaha 04/01 sita maasa 06ka sahana kalayak dena lesa leasing ha vanija banku walata maha bankuwa danum dei,පොදු ප්‍රවාහන සේවා සිදුකරන්නන්ට ලීසිං සඳහා 04/01සිට මාස හයක් සහන කාලයක් දෙන ලෙස ලීසින් හා වාණිජ බැංකුවලට මහ බැංකුව දැනුම් දෙයි
News 1st,3/15/2021 17:16,Received,Magii prawahana sewaye niyuthu wyapara ha pudgalainge kalbadhu pahasukam sandaha maasa 06ka naya..(1/2),මගී ප්‍රවාහන සේවය සේවයේ නියුතු ව්‍යාපාර හා පුද්ගලයින්ගේ කල්බදු පහසුකම් සඳහා මාස 6 ක ණය
News 1st,3/15/2021 17:16,Received,"..sahana yojana kramayak laba dena lesa maha benkuwa, waanija benkuwalata haa muulya aayathanawalata danwai. (2/2)",සහන යෝජනා ක්‍රමයක් ලබා දෙන ලෙස මහ බැංකුව වාණිජ බැංකුවලට හා මූල්‍ය බැංකු හා මූල්‍ය ආයතන වලට දන්වයි
Ada Derana,3/15/2021 17:15,Received,(2/2)kriyathmaka karana lesa maha benkuwen benku ha muulya ayathana wetha danwai.Wedidhura thorathuru sadaha piwisenna - www.adaderana.lk web adawiyata,ක්‍රියාත්මක කරන ලෙස මහ බැංකුවෙන් බැංකු හා මූල්‍ය ආයතන වෙත දන්වයි වැඩිදුර තොරතුරු සඳහා පිවිසෙන්න www.adaderana.lk වෙබ් අඩවිය
Ada Derana,3/15/2021 17:14,Received,Magee pravahana sewaye niyuthu pudgalayinta kalbadhu pahasukam sadaha maasa 6 k ho eeta adu kaala seemawakata naya sahana yojana kramayak(1/2),මගී ප්‍රවාහන සේවයේ නියුතු පුද්ගලයින්ට කල්ප ද පහසුකම් සඳහා මාස 6ක් හෝ ඊට අඩු කාලසීමාවකට ණය සඳහා යෝජනා ක්‍රමයක්
Ada Derana,3/15/2021 16:30,Received,"Covid-19 asadithayin 321 deneku suwaya labai.Merata suwaya labaa rohalwalin pitawa giya samastha ganana 84,969 dakwa ihalata - Saukya amathyanshaya",Covid 19 ආසාදිතයින් 321දෙනෙකු සුවය ලබයි මෙරට සුවය ලබා රෝහල් වලින් පිටව ගියේ සමස්ත ගණන 84969දක්වා ඉහළට ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
Hiru News,3/15/2021 16:28,Received,"Thawath COVID-19 asadithayin 321k suwaya laba pitawa yai; suwaya labu mulu sankyawa 84,968.: EPID",තවත් covid 19 ආසාදිතයින් 321ක් සුවය ලබා පිටව යයි සුවය ලැබූ මුළු සංඛ්‍යාව 84968:EPID
Hiru News,3/15/2021 10:49,Received,(2/2) DNA parikshanayen thahawuru wei.: Police Spokesman,DNA පරීක්ෂණයෙන් තහවුරු  වේ police spokesmen
Hiru News,3/15/2021 10:48,Received,"Kohuwala, Asiri mawathe ginigath motor rathayakin hamu-wu mala sirura, Kohuwala - Bathiya mawathe padinchi 33-haviridi wyaparikayage bawata (1/2)",kohuwala ආසිරි මාවතේ ගිනකොහුවල ආසිරි මාවතේ ගිනි ගත් මෝටර් රථයකින් හමුවූ මළ සිරුර කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෙකුගේ බවට
News 1st,3/15/2021 10:31,Received,..Kohuwala bhathiya mawathe padinchi 33 hewiridi wyaparikayage bawa DNA parikshanayen thahawuru wei.-police (2/2),කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෝ ගේ බව DNA පරීක්ෂණයෙන් තහවුරු වෙයි පොලිස්
News 1st,3/15/2021 10:31,Received,"Kohuwaladi mortor rathayak thula thibi soyagath pilissie giya mala sirura, (1/2)",කොහුවල දී මෝටර් රථයක් තුළ තිබූ සොයාගත්  පිළිස්සී ගිය මළ සිරුර
Ada Derana,3/15/2021 10:00,Received,(2/2)MTV/Sirasa ta erehiwa panawa ethi waarana niyogaya Colamba disa adhikaranayen thawaduratath deerga karai,MTV/සිරස ට එරෙහිව පනවා ඇති වාරණ නියෝගය කොළඹ දිසා අධිකරණයෙන් තවදුරටත් දීර්ඝ
Ada Derana,3/15/2021 9:59,Received,George Steuart Health samagamata ha ehi sabapathita apahasa wana lesa puwath pala kireema walakwalamin(1/2),George Steuart Health සමාගමට හා එහි සභාපති ට අපහාස වන ලෙස පුවත් පළකිරීම වළකමින්
Hiru News,3/15/2021 6:57,Received,"Kadawatha, Kirillawala pradeshayedi Lorry rathayak anathurakata lak weema hethuwen, Colamba - Nuwara pare ratha-wahana thada-badayak.: Police",කඩවත කිරිල්ලවල ප්‍රදේශයේදී ලොරි රථයක් අනතුරට ලක්වීම හේතුවෙන් කොළඹ කොළඹ නුවර පාරේ රථවාහන තදබදයක් police
Ada Derana,3/15/2021 6:19,Received,"SL - Kodew 3 ekdina tharagaya; Kodewwanta kadulu 5 ka jayak. SL-274/6(50) , kodew-276/5 (48.3) -  Kodewwanta tharagawaliya 3-0 lesa jaya",SL කොදෙව්  3 එක්දින තරගය කොදෙව්වන්ට ලකුණු 5ක ජය SL-274/6(50)කොදෙව් 276/5 (48.3) කොදෙව්වන්ට තරඟාවලිය 3-0 ලෙස ජය
Hiru News,3/15/2021 5:58,Received,"3rd ODI, Sri Lanka Vs West Indies ' Antigua l WI kandayamata kadulu 05ka jayak. (3-0) SL 274/6(50) WI 276/5(48.3), Bravo 102(132), Lakmal 56/2","3rd ODI, Sri Lanka Vs West Indies ' Antigua l WI කණ්ඩායමට කඩුලු 05 ජයක් (3-0) SL 274/6(50) WI 276/5(48.3), Bravo 102(132), ලක්මාල්  56/2"
