singlish_content,transliterated_L1,man_written
talaimannarama dumriya haras maargayakadi magee bus rathayak ha dumriyak gateemen wu anathurakin 09 hawiridi sisuweku miyayai.thawath 15 denekuta thuwala,ටලඉමන්නරම දුම්‍රිය හරස් මාර්ගයකදි මගී බුස් රතයක් හා දුම්‍රියක් ගටීමෙන් වු අනතුරකින් 09 හවිරිදි සිසුවෙකු මියයඉ . තවත් 15 දෙනෙකුට තුවල,තලෙයිමන්නාරම දුම්රිය හරස් මාර්ගය කදී මගකදී මගී බස් රථයක් හා දුම්රියක් ගැටීමෙන් වූ අනතුරකින් 9 හැවිරිදි සිසුවකු මියයයි තවත් 15 දෙනෙකු තුවාල
dahampasal shreni wibhaga labana may 09 dakwa kal dame.- baudha katayuthu comasaris genaral.,දහම්පසල් ශ්‍රෙනි විබ්හග ලබන මය් 09 දක්වා කල් දමෙ .- බෞද්හ කටයුතු කෝමසරිස් ගෙනරල් .,දහම් පාසල් ශ්‍රේණි විභාග ලබන මැයි 9 දක්වා කල් දැමේ කල් දැමේ බුද්ධ කටයුතු කොමසාරිස් ජනරාල්
(2/2)eya sakachcha wemin pawathina hudek yojanawak pamanak bawa videsha lekam kiyai,( 2 / 2 ) එය සකච්ච වෙමින් පවතින හුදෙක් යෝජනවක් පමනක් බව විදෙශ ලෙකම් කියඉ,(2/2) එය සාකච්ඡා වෙමින් පවතින හුදෙක් යෝජනාවක් පමණක් බව විදේශ ලේකම් කියයි
"burkawa ha nikabaya peladima thahanam kirimata rajaya thiranayak gena nomethi bawath, eya hudek yojanawak pamanak bawath widesha katayuthu amathyanshaya kiyai.","බුර්කව හා නිකබය පෙලදිම තහනම් කිරිමට රජය තිරනයක් ගෙන නෝමෙති බවත් , එය හුදෙක් යෝජනවක් පමනක් බවත් විදෙශ කටයුතු අමත්යන්ශය කියඉ .",බුර්කාව හා නිකාබය පැළඳීම තහනම් කිරීමට රජය තීරණයක් ගෙන නොමැති බවත් එය හුදෙක් යෝජනාවක් පමණක් බවත් විදේශ කටයුතු අමාත්‍යංශය කියයි
merata burqawa ho niqabaya peladeemata thahanamak penaweema sadaha rajaya theeranayak gena nomethi athara(1/2),මෙරට බුර්qඅව හෝ‍ නිqඅබය පෙලදීමට තහනමක් පෙනවීම සදහ රජය තීරනයක් ගෙන නෝමෙති අතර ( 1 / 2 ),මෙරට බුරුකාව හෝ නිකාබය පැළඳීමට තහනමක් පැනවීම සඳහා රජය තීරණයක් ගෙන නොමැති අතර
thaleimannaramedi magi bus rathayak dumriyaka getimen 09 hewiridi pasal daruweku maruta.15 denekuta thuwala.- police madya prakashaka,තලෙඉමන්නරමෙදි මගි බුස් රතයක් දුම්‍රියක ගෙටිමෙන් 09 හෙවිරිදි පසල් දරුවෙකු මරුට . 15 දෙනෙකුට තුවල .- පෝලිකෙ මද්ය ප්‍රකශක,තලෙයි මන්නාරමේ දී මගී බස් රථයක් දුම්රියක ගැටීමෙන් 9 හැවිරිදි පාසල් දරුවෙකු මරුට 15 දෙනෙකුට තුවාල පොලිස් මාධ්‍ය ප්‍රකාශක
(2/2)asanka edirisinghe ha nalaka edirisinghe cid athadanguwata,( 2 / 2 ) අසන්ක එදිරිසින්ග්හෙ හා නලක එදිරිසින්ග්හෙ කිද් අතදන්ගුවට,අසංක එදිරිසිංහ හා නාලක එදිරිසිංහ CID අත්අඩංගුවට
"neethipathi upades matha swarnamahal jewellers hitapu adyakshawarun wana jeewaka edirisinghe, anjalee edirisinghe(1/2)","නීතිපති උපදෙස් මත ස්වර්නමහල් ජෙවෙල්ලෙර්ස් හිටපු අද්යක්ශවරුන් වන ජීවක එදිරිසින්ග්හෙ , අන්ජලී එදිරිසින්ග්හෙ ( 1 / 2 )",නීතිපති උපදෙස් මත ස්වර්ණමහල්  jewellers හිටපු අධ්‍යක්ෂවරුන් වන ජීවක ඉදිරිසිංහ අන්ජලී එදිරිසිංහ
"covid-19 asadithayin 402 deneku suwaya labai.merata suwaya labaa rohalwalin pitawa giya samastha ganana 85,371 dakwa ihalata - saukya amathyanshaya","covid - 19 අසදිතයින් 402 දෙනෙකු සුවය ලබඉ . මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගනන 85 , 371 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය",Covid 19 ආසාදිතයින් 402 දෙනෙකු සුවය ලබයි .මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගණන 85 371 දක්වා ඉහලට සෞඛ්‍ය අමාත්‍යාංශය
amerikanu dollarayata sapekshawa sri lanka rupiyale agaya thawaduratath pahalata.amerikanu dollarayaka wikunum mila rs.200.06 - cbsl,අමෙරිකනු දෝල්ලරයට සපෙක්ශව ශ්‍රී ලන්ක රුපියලෙ අගය තවදුරටත් පහලට . අමෙරිකනු දෝල්ලරයක විකුනුම් මිල ර්ස් . 200 . 06 - ක්බ්ස්ල්,ඇමරිකානු  ඩොලරයට සාපේක්ෂව ශ්‍රී ලංකා රුපියලේ අගය තවදුරටත් පහළට ඇමරිකානු ඩොලරයක  විකුනුම් මිල Rs.200.06-CBSL
antigua hidee pasugiya irida batahira kodew kandayamata erehiwa pewathi 3 ekdina tharagaye dee mandagamee panduwara wegayak(1/2),අන්ටිගුඅ හිදී පසුගිය ඉරිද බටහිර කෝදෙව් කන්දයමට එරෙහිව පෙවති 3 එක්දින තරගයෙ දී මන්දගමී පන්දුවර වෙගයක් ( 1 / 2 ),Antigua හි දී පසුගිය ඉරිදා බටහිර කොදෙව් කණ්ඩායමට එරෙහිව පැවැති 3 එක්දින තරගයේදී මන්දගාමී පන්දු වාරයක්
(2/2)pawathwagena yaama nisa sri lanka kandayamata tharaga gasthuwen 40% ka dhadayak niyama karai - icc,( 2 / 2 ) පවත්වගෙන යාම නිසා ශ්‍රී ලන්ක කන්දයමට තරග ගස්තුවෙන් 40 % ක ද්හදයක් නියම කරඉ - ඉක්ක්,පවත්වාගෙන යාම නිසා ශ්‍රී ලංකා කණ්ඩායමට තරඟ ගාස්තුවෙන් 40%ක දඩයක් නියම කරයි - ICC
indiyawe adani samagama hemikaru gautam adani sri lanka rajayata sthuthiya pala karai.(2/2),ඉන්දියවෙ අදනි සමගම හෙමිකරු ගෞටම් අදනි ශ්‍රී ලන්ක රජයට ස්තුතිය පල කරඉ .( 2 / 2 ),ඉන්දියාවේ Adani සමාගම හිමිකරු Gautam Adani ශ්‍රී ලංකා රජයට ස්තුතිය ස්තුතිය පළ කරයි
colomba waraye batahira paryanthaya godanegeema sadaha tamanta awasthawa laba deema pilibada.. (1/2),කෝලෝම්බ වරයෙ බටහිර පර්යන්තය ගෝදනෙගීම සදහ ටමන්ට අවස්තව ලබ දීම පිළිබඳ .. ( 1 / 2 ),කොළඹ වරාය බටහිර පර්යන්තය ගොඩනැගීම සඳහා තමාට අවස්ථාව ලබාදීම පිළිබඳ
sinharaja wanantharaye gas kepu sekakaruwan 4 deneku stf atthadanguwata.-police.,සින්හරජ වනන්තරයෙ ගස් කෙපු සෙකකරුවන් 4 දෙනෙකු ස්ට්f අට්තදන්ගුවට .- පෝලිකෙ .,සිංහරාජ වනාන්තරයේ ගස් කැපූ සැකකරුවන් 4 දෙනෙකු STF අත්අඩංගුවට police
vee alewi mandalaya goveengen miladee ganna vee thoga sahal bawata path kara akandawa(1/2),වී අලෙවි මන්දලය ගෝවීන්ගෙන් මිලදී ගන්න වී තෝග සහල් බවට පත් කර අකන්දව ( 1 / 2 ),වී අලවි මන්ඩලයේ ගොවීන්ගෙන් මිලදී ගන්නා වී තොග සහල් බවට පත්කර අඛණ්ඩව
(2/2)sathosa shaka jaalaya magin kadinamin beda hareemata amathya mandalaya theeranaya karai,( 2 / 2 ) සතෝස ශක ජාලය මගින් කදිනමින් බෙද හරීමට අමත්ය මන්දලය තීරනය කරඉ,සතොස ශාඛා ජාලය මගින් කඩිනමින් බෙදාහැරීමට අමාත්‍ය මණ්ඩලය තීරණය කරයි
"yuda hamuda buddi anshaya labadun thorathurakata anuwa,rs.5000 wyaja mudal nottu 124k samaga sakakaruwan 02k oluwil pradeshayedi athadanguwata.police","යුද හමුද බුද්දි අන්ශය ලබදුන් තෝරතුරකට අනුව , ර්ස් . 5000 ව්යජ මුදල් නෝට්ටු 124ක් සමග සකකරුවන් 02ක් ඕලුවිල් ප්‍රදෙශයෙදි අතදන්ගුවට . පෝලිකෙ",යුද හමුදා බුද්ධි අංශය ලැබුණු තොරතුරකට අනුව Rs.5000 වටිනා මුදල් නෝට්ටු 124ක් සමග සැකකරුවන් 02ක් ඔලුවිල් ප්‍රදේශයේදී අත්අඩංගුවට police
"yuda hamuda buddhi thorathurakata kala wetalaeemakadi rs.5000 wayaja mudal nottu 124 k samaga pudgalayin dedeneku akkaraipattu, oluwil hidee athadanguwata","යුද හමුද බුද්ද්හි තෝරතුරකට කල වෙටලඊමකදි ර්ස් . 5000 වයජ මුදල් නෝට්ටු 124 ක් සමග පුද්ගලයින් දෙදෙනෙකු අක්කරඉපට්ටු , ඕලුවිල් හිදී අතදන්ගුවට",යුද හමුදා බුද්ධි තොරතුරකට කළ වැටලීමකදී Rs.5000 වටිනා මුදල් නෝට්ටු 124ක් සමඟ පුද්ගලයෙකු අක්කරේපත්තු ඔලුවිල් හිදී අත්අඩංගුවට
"colamba - wellaveediya pradeshayedi narcotics niladarin sidu-kala wetalimakin, ice mathdrawya 1kg samaga sekakaruwan 02-k(29,37) athadanguwata","කෝලම්බ - වෙල්ලවීදිය ප්‍රදෙශයෙදි නර්කෝටික්ස් නිලදරින් සිදු - කල වෙටලිමකින් , ඉකෙ මත්ද්‍රව්ය 1ක්ග් සමග සෙකකරුවන් 02 - ක් ( 29 , 37 ) අතදන්ගුවට","කොළඹ වේල්ලවීදිය ප්‍රදේශයේ දී narcotic නිලධාරීන් සිදුකළ සිදු කළ වැටලීමකින් ICE මත්ද්‍රව්‍ය 1kg සමග සැකකරුවන්  02ක්(29,37)අත්අඩංගුවට"
thawath corona asadithain 70k handuna gene. ada dina wartha wu asadithain sankyawa 248k.- rajaye prauththi departhamenthuwa,තවත් කෝරෝන අසදිතඉන් 70ක් හන්දුන ගෙනෙ . අද දින වර්ත වු අසදිතඉන් සන්ක්යව 248ක් .- රජයෙ ප්‍රෞත්ති දෙපර්තමෙන්තුව,තවත් කොරෝනා ආසාදිතයින් 70ක් හඳුනාගැනීම අද දින වාර්තා වූ ආසාදිතයින් සංඛ්‍යාව 248ක් රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
update: thawath covid-19 asadithayin 70 deneku haduna ganne.ada wartha wu asadithayin ganana 248 dakwa ihalata - yuda hamudapathi,update : තවත් covid - 19 අසදිතයින් 70 දෙනෙකු හදුන ගන්නෙ . අද වර්ත වු අසදිතයින් ගනන 248 දක්වා ඉහලට - යුද හමුදපති,Update : තවත් covid 19 ආසාදිතයින් 70 දෙනෙකු හඳුනා ගැනේ අද වාර්තා වූ ආසාදිතයින් ගණන  248 දක්වා ඉහලට යුද හමුදා පති
update - thawath covid-19 asadithayin 70k wartha wei.: army commander,update - තවත් covid - 19 අසදිතයින් 70ක් වර්ත වෙඉ .: army commander,Update : තවත් covid 19  ආසාදිතයින් 70ක් වාර්තාවේ army commander
covid-19 asaditha marana 05 k ada wartha weemath samaga merata samastha marana 532 dakwa ihalata - saukya amathyanshaya,covid - 19 අසදිත මරන 05 ක් අද වර්ත වීමත් සමග මෙරට සමස්ත මරන 532 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය,Covid 19 ආසාදිත  මරණ 05ක් අද වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ දක්වා ඉහලට සෞඛ්‍ය අමාත්‍යාංශය 532 දක්වා ඉහලට සෞඛ්‍ය අමාත්‍යාංශය
thawath covid-19 marana 05k wartha-wei; samastha marana 532 dakwa ihalata.: information department,තවත් covid - 19 මරන 05ක් වර්ත - වෙඉ ; සමස්ත මරන 532 දක්වා ඉහලට .: ඉන්fඕර්මටිඕන් දෙපර්ට්මෙන්ට්,තවත් Covid 19 මරණ 05ක් වාර්තාවේ සමස්ත මරණ 532 දක්වා ඉහලට information department
thawath corona asadithain 178k handuna gene.- rajaye prauththi departhamenthuwa,තවත් කෝරෝන අසදිතඉන් 178ක් හන්දුන ගෙනෙ .- රජයෙ ප්‍රෞත්ති දෙපර්තමෙන්තුව,තවත් කොරෝනා ආසාදිතයින් 178ක් හඳුනාගැනී රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
"wathu kamkaru dainika wetupa rupiyal 1,000k bawata path karamin nikuth kala gazzte niwedanaya balarahitha karana lesa illa..(1/2)","වතු කම්කරු දඉනික වෙටුප රුපියල් 1 , 000ක් බවට පත් කරමින් නිකුත් කල ගzzටෙ නිවෙදනය බලරහිත කරන ලෙස ඉල්ල ..( 1 / 2 )",වතු කම්කරු දෛනික වැටුප රුපියල්  1000ක් බවට පත් කරමින් නිකුත් කළ ගැසට් නිවේදනය බලරහිත කරන ලෙස ඉල්ලා
..wewili samagam 20k abhiyachanadhikaranayata rit agcha pethsamak gonu karai.(2/2),.. වෙවිලි සමගම් 20ක් අබ්හියචනද්හිකරනයට රිට් අග්ච පෙත්සමක් ගෝනු කරඉ .( 2 / 2 ),වැවිලි සමාගම් 20ක් අභියාචනාධිකරණයට රිට් ආඥා ආඥා පෙත්සමක් ගොනු කරයි
covid-19 asadithayin 178 deneku haduna ganne - yuda hamudapathi,covid - 19 අසදිතයින් 178 දෙනෙකු හදුන ගන්නෙ - යුද හමුදපති,Covid 19 ආසාදිතයින් 178 දෙනෙකු හඳුනා ගැනේ යුද හමුදාපති
thawath covid-19 asadithayin 178k wartha wei.: army commander,තවත් covid - 19 අසදිතයින් 178ක් වර්ත වෙඉ .: army commander,තවත් covid 19 ආසාදිතයින් 178ක් වාර්තාවේ army commander
podu prawahana sewa sidu karannanta leasing sadaha 04/01 sita maasa 06ka sahana kalayak dena lesa leasing ha vanija banku walata maha bankuwa danum dei,පෝදු ප්‍රවහන සෙව සිදු කරන්නන්ට ලේසින්ග් සදහ 04 / 01 සිට මාස 06ක සහන කලයක් දෙන ලෙස ලේසින්ග් හා වනිජ බන්කු වලට මහ බන්කුව දනුම් දෙඉ,පොදු ප්‍රවාහන සේවා සිදුකරන්නන්ට ලීසිං සඳහා 04/01සිට මාස හයක් සහන කාලයක් දෙන ලෙස ලීසින් හා වාණිජ බැංකුවලට මහ බැංකුව දැනුම් දෙයි
magii prawahana sewaye niyuthu wyapara ha pudgalainge kalbadhu pahasukam sandaha maasa 06ka naya..(1/2),මගී ප්‍රවහන සෙවයෙ නියුතු ව්යපර හා පුද්ගලඉන්ගෙ කල්බද්හු පහසුකම් සඳහා මාස 06ක නය ..( 1 / 2 ),මගී ප්‍රවාහන සේවය සේවයේ නියුතු ව්‍යාපාර හා පුද්ගලයින්ගේ කල්බදු පහසුකම් සඳහා මාස 6 ක ණය
"..sahana yojana kramayak laba dena lesa maha benkuwa, waanija benkuwalata haa muulya aayathanawalata danwai. (2/2)",".. සහන යෝජන ක්‍රමයක් ලබ දෙන ලෙස මහ බෙන්කුව , වානිජ බෙන්කුවලට හා මූල්ය ආයතනවලට දන්වඉ . ( 2 / 2 )",සහන යෝජනා ක්‍රමයක් ලබා දෙන ලෙස මහ බැංකුව වාණිජ බැංකුවලට හා මූල්‍ය බැංකු හා මූල්‍ය ආයතන වලට දන්වයි
(2/2)kriyathmaka karana lesa maha benkuwen benku ha muulya ayathana wetha danwai.wedidhura thorathuru sadaha piwisenna - www.adaderana.lk web adawiyata,( 2 / 2 ) ක්‍රියත්මක කරන ලෙස මහ බෙන්කුවෙන් බෙන්කු හා මූල්ය අයතන වෙත දන්වඉ . වෙදිද්හුර තෝරතුරු සදහ පිවිසෙන්න - ව්ව්ව් . අදදෙරන . ල්ක් වෙබ් අදවියට,ක්‍රියාත්මක කරන ලෙස මහ බැංකුවෙන් බැංකු හා මූල්‍ය ආයතන වෙත දන්වයි වැඩිදුර තොරතුරු සඳහා පිවිසෙන්න www.adaderana.lk වෙබ් අඩවිය
magee pravahana sewaye niyuthu pudgalayinta kalbadhu pahasukam sadaha maasa 6 k ho eeta adu kaala seemawakata naya sahana yojana kramayak(1/2),මගී ප්‍රවහන සෙවයෙ නියුතු පුද්ගලයින්ට කල්බද්හු පහසුකම් සදහ මාස 6 ක් හෝ‍ ඊට අදු කාල සීමවකට නය සහන යෝජන ක්‍රමයක් ( 1 / 2 ),මගී ප්‍රවාහන සේවයේ නියුතු පුද්ගලයින්ට කල්ප ද පහසුකම් සඳහා මාස 6ක් හෝ ඊට අඩු කාලසීමාවකට ණය සඳහා යෝජනා ක්‍රමයක්
"covid-19 asadithayin 321 deneku suwaya labai.merata suwaya labaa rohalwalin pitawa giya samastha ganana 84,969 dakwa ihalata - saukya amathyanshaya","covid - 19 අසදිතයින් 321 දෙනෙකු සුවය ලබඉ . මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගනන 84 , 969 දක්වා ඉහලට - සෞක්ය අමත්යන්ශය",Covid 19 ආසාදිතයින් 321දෙනෙකු සුවය ලබයි මෙරට සුවය ලබා රෝහල් වලින් පිටව ගියේ සමස්ත ගණන 84969දක්වා ඉහළට ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
"thawath covid-19 asadithayin 321k suwaya laba pitawa yai; suwaya labu mulu sankyawa 84,968.: epid","තවත් covid - 19 අසදිතයින් 321ක් සුවය ලබ පිටව යඉ ; සුවය ලබු මුලු සන්ක්යව 84 , 968 .: එපිද්",තවත් covid 19 ආසාදිතයින් 321ක් සුවය ලබා පිටව යයි සුවය ලැබූ මුළු සංඛ්‍යාව 84968:EPID
(2/2) dna parikshanayen thahawuru wei.: police spokesman,( 2 / 2 ) ද්න පරික්ශනයෙන් තහවුරු වෙඉ .: පෝලිකෙ ස්පෝකෙස්මන්,DNA පරීක්ෂණයෙන් තහවුරු  වේ police spokesmen
"kohuwala, asiri mawathe ginigath motor rathayakin hamu-wu mala sirura, kohuwala - bathiya mawathe padinchi 33-haviridi wyaparikayage bawata (1/2)","කෝහුවල , අසිරි මවතෙ ගිනිගත් මෝටෝර් රතයකින් හමු - වු මල සිරුර , කෝහුවල - බතිය මවතෙ පදින්චි 33 - හවිරිදි ව්යපරිකයගෙ බවට ( 1 / 2 )",kohuwala ආසිරි මාවතේ ගිනකොහුවල ආසිරි මාවතේ ගිනි ගත් මෝටර් රථයකින් හමුවූ මළ සිරුර කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෙකුගේ බවට
..kohuwala bhathiya mawathe padinchi 33 hewiridi wyaparikayage bawa dna parikshanayen thahawuru wei.-police (2/2),.. කෝහුවල බ්හතිය මවතෙ පදින්චි 33 හෙවිරිදි ව්යපරිකයගෙ බව ද්න පරික්ශනයෙන් තහවුරු වෙඉ .- පෝලිකෙ ( 2 / 2 ),කොහුවල භාතිය මාවතේ පදිංචි 33 හැවිරිදි ව්‍යාපාරිකයෝ ගේ බව DNA පරීක්ෂණයෙන් තහවුරු වෙයි පොලිස්
"kohuwaladi mortor rathayak thula thibi soyagath pilissie giya mala sirura, (1/2)","කෝහුවලදි මෝර්ටෝර් රතයක් තුළ තිබි සෝයගත් පිලිස්සී ගිය මල සිරුර , ( 1 / 2 )",කොහුවල දී මෝටර් රථයක් තුළ තිබූ සොයාගත්  පිළිස්සී ගිය මළ සිරුර
(2/2)mtv/sirasa ta erehiwa panawa ethi waarana niyogaya colamba disa adhikaranayen thawaduratath deerga karai,( 2 / 2 ) ම්ට්ව් / සිරස ට එරෙහිව පනව එති වාරන නියෝගය කෝලම්බ දිස අද්හිකරනයෙන් තවදුරටත් දීර්ග කරඉ,MTV/සිරස ට එරෙහිව පනවා ඇති වාරණ නියෝගය කොළඹ දිසා අධිකරණයෙන් තවදුරටත් දීර්ඝ
george steuart health samagamata ha ehi sabapathita apahasa wana lesa puwath pala kireema walakwalamin(1/2),ගෙඕර්ගෙ ස්ටෙඋඅර්ට් හේල්ත් සමගමට හා එහි සබපතිට අපහස වන ලෙස පුවත් පල කිරීම වලක්වලමින් ( 1 / 2 ),George Steuart Health සමාගමට හා එහි සභාපති ට අපහාස වන ලෙස පුවත් පළකිරීම වළකමින්
"kadawatha, kirillawala pradeshayedi lorry rathayak anathurakata lak weema hethuwen, colamba - nuwara pare ratha-wahana thada-badayak.: police","කදවත , කිරිල්ලවල ප්‍රදෙශයෙදි ලෝර්ර්ය් රතයක් අනතුරකට ලක් වීම හෙතුවෙන් , කෝලම්බ - නුවර පරෙ රත - වහන තද - බදයක් .: පෝලිකෙ",කඩවත කිරිල්ලවල ප්‍රදේශයේදී ලොරි රථයක් අනතුරට ලක්වීම හේතුවෙන් කොළඹ කොළඹ නුවර පාරේ රථවාහන තදබදයක් police
"sl - kodew 3 ekdina tharagaya; kodewwanta kadulu 5 ka jayak. sl-274/6(50) , kodew-276/5 (48.3) -  kodewwanta tharagawaliya 3-0 lesa jaya","ස්ල් - කෝදෙව් 3 එක්දින තරගය ; කෝදෙව්වන්ට කදුලු 5 ක ජයක් . ස්ල් - 274 / 6 ( 50 ) , කෝදෙව් - 276 / 5 ( 48 . 3 ) - කෝදෙව්වන්ට තරගවලිය 3 - 0 ලෙස ජය",SL කොදෙව්  3 එක්දින තරගය කොදෙව්වන්ට ලකුණු 5ක ජය SL-274/6(50)කොදෙව් 276/5 (48.3) කොදෙව්වන්ට තරඟාවලිය 3-0 ලෙස ජය
"3rd odi, sri lanka vs west indies ' antigua l wi kandayamata kadulu 05ka jayak. (3-0) sl 274/6(50) wi 276/5(48.3), bravo 102(132), lakmal 56/2","3ර්ද් ඕදි , ශ්‍රී ලන්ක ව්ස් වෙස්ට් ඉන්දීස් ' අන්ටිගුඅ ල් වි කන්දයමට කදුලු 05ක ජයක් . ( 3 - 0 ) ස්ල් 274 / 6 ( 50 ) වි 276 / 5 ( 48 . 3 ), බ්‍රවෝ 102 ( 132 ), ලක්මල් 56 / 2","3rd ODI, Sri Lanka Vs West Indies ' Antigua l WI කණ්ඩායමට කඩුලු 05 ජයක් (3-0) SL 274/6(50) WI 276/5(48.3), Bravo 102(132), ලක්මාල්  56/2"
